Medicine,Notes
acetaZOLAMIDE,
acetoHEXAMIDE,Original: acetoHEXAMIDE*
ALfentanil,
ALPRAZolam,
aMILoride,
amLODIPine,
ARIPiprazole,
azaCITIDine,
azaTHIOprine,
BUPivacaine,
buPROPion,
busPIRone,
carBAMazepine,
CARBOplatin,Original: CARBOplatin†
ceFAZolin,
cefoTEtan,
cefOXitin,
cefTAZidime,
cefTRIAXone,
CeleBREX,Original: CeleBREX‡
CeleXA,Original: CeleXA‡
chlordiazePOXIDE,
chlorproMAZINE,Original: chlorproMAZINE†
chlorproPAMIDE,
CISplatin,Original: CISplatin†
cloBAZam,
clomiPHENE,
clomiPRAMINE,
clonazePAM,
cloNIDine,
cloZAPine,
cycloPHOSphamide,
cycloSERINE,Original: cycloSERINE†
cycloSPORINE,Original: cycloSPORINE†
DACTINomycin,
DAPTOmycin,
DAUNOrubicin,
DEPO-Medrol,Original: DEPO-Medrol‡
dexAMETHasone,
dexmedeTOMIDine,
diazePAM,
dilTIAZem,
dimenhyDRINATE,
diphenhydrAMINE,
DOBUTamine,
DOCEtaxel,
DOPamine,
DOXOrubicin,Original: DOXOrubicin†
droNABinol,
droPERidol,
DULoxetine,
ePHEDrine,
EPINEPHrine,
epiRUBicin,
eriBULin,
fentaNYL,
flavoxATE,
FLUoxetine,
fluPHENAZine,
fluvoxaMINE,
glipiZIDE,
glyBURIDE,
guaiFENesin,
guanFACINE,
HumaLOG,Original: HumaLOG‡
HumuLIN,Original: HumuLIN‡
hydrALAZINE,Original: hydrALAZINE†
hydroCHLOROthiazide,
HYDROcodone,
HYDROmorphone,Original: HYDROmorphone†
HYDROXYprogesterone,
hydrOXYzine,Original: hydrOXYzine†
IDArubicin,
idaruCIZUmab,
inFLIXimab,
ISOtretinoin,
KlonoPIN,Original: KlonoPIN‡
LaMICtal,Original: LaMICtal‡
LamISIL,Original: LamISIL‡
lamiVUDine,
lamoTRIgine,
levETIRAcetam,
levOCARNitine,
levoFLOXacin,
LEVOleucovorin,
LORazepam,
medroxyPROGESTERone,Original: medroxyPROGESTERone†
metFORMIN,
methazolAMIDE,
methIMAzole,
methylPREDNISolone,
methylTESTOSTERone,
metOLazone,
metroNIDAZOLE,
metyraPONE,
metyroSINE,
miFEPRIStone,
migALAstat,Original: migALAstat†
migLUstat,Original: migLUstat†
miSOPROStol,
mitoMYcin,
mitoXANTRONE,Original: mitoXANTRONE†
NexAVAR,Original: NexAVAR‡
NexIUM,Original: NexIUM‡
niCARdipine,Original: niCARdipine†
NIFEdipine,Original: NIFEdipine†
niMODipine,
NovoLIN,Original: NovoLIN‡
NovoLOG,Original: NovoLOG‡
OLANZapine,
OXcarbazepine,
oxyBUTYnin,
oxyCODONE,
OxyCONTIN,Original: OxyCONTIN‡
oxyMORphone,
PACLitaxel,
PARoxetine,
PAZOPanib,
PEMEtrexed,
penicillAMINE,
PENTobarbital,
PHENobarbital,
PHYSostigmine,
PONATinib,
PRALAtrexate,
prednisoLONE,
predniSONE,
PriLOSEC,Original: PriLOSEC‡
PROzac,Original: PROzac‡
pyRIDostigmine,
QUEtiapine,
quiNIDine,
quiNINE,
RABEprazole,
raNITIdine,Original: raNITIdine*
rifAMPin,
rifAXIMin,
riMANTAdine,
RisperDAL,Original: RisperDAL‡
risperiDONE,Original: risperiDONE†
riTUXimab,
romiDEPsin,
romiPLOStim,
rOPINIRole,Original: rOPINIRole†
ROPivacaine,
SandIMMUNE,Original: SandIMMUNE‡
SandoSTATIN,Original: SandoSTATIN‡
sAXagliptin,
SITagliptin,
Solu-CORTEF,Original: Solu-CORTEF‡
SOLU-Medrol,Original: SOLU-Medrol‡
SORAfenib,
SUFentanil,
sulfADIAZINE,Original: sulfADIAZINE†
sulfaSALAzine,
sulfiSOXAZOLE,Original: sulfiSOXAZOLE*
SUMAtriptan,
SUNItinib,
tiaGABine,
tiZANidine,
TOLAZamide,
TOLBUTamide,Original: TOLBUTamide*
traMADol,Original: traMADol†
traZODone,Original: traZODone†
valACYclovir,
valGANciclovir,
vinBLAStine,
vinCRIStine,
ZOLMitriptan,
ZyPREXA,Original: ZyPREXA‡
ZyrTEC,Original: ZyrTEC‡
