Medicine,Notes
AMILorid,
AmLODIPin,
ARICept,Original: ARICept® (Donepezil)
AzaCITIDin,
AzaTHIOprin,
AZILect,Original: AZILect® (Rasagilin)
BuPROPion,
BuSPIRon,
CefAZOLin,
CefOTAXim,
CefTAZIdim,
CefTRIAXon,
CefUROXim,
CITalopram,
CloBAZam,
CloMETHiazol,
ClomiFEN,
ClomiPRAMIN,
CloNIDin,
CloPIDOgrel,
CLOTrimazol,
CloZAPin,
CoTRIMoxazol,
CycloSERIN,
CycloSPORIN,
DACTINomycin,
DAPTOmycin,
DiazePAM,
DilaTREND,Original: DilaTREND® (Carvedilol)
DilTIAZem,
DimenhyDRINAT,
DiphenhydrAMIN,
DipiDOLOR,Original: DipiDOLOR® (Piritramid)
DipiPERON,Original: DipiPERON® (Pipamperon)
EbiXA,Original: EbiXA® (Memantin)
EdoXABAN,
ENDOxan,Original: ENDOxan® (Cyclophosphamid)
EpiRUBIcin,
EriBULin,
EScitalopram,
EviSTA,Original: EviSTA® (Raloxifen)
FluCLOXAcillin,
FluconAZOL,
FOSamax,Original: FOSamax® (Alendronsäure)
HydrALAZIN,
HydroCHLOROthiazid,
HydroCORTison,
HydroMORPHon,
HydrOXYzin,
IDArubicin,
IdaruCIZUmab,
LaMICtal,Original: LaMICtal®
LamISIL,Original: LamISIL® (Terbinafin)
LamiVUDin,
LamoTRIgin,
LevETIRAcetam,
LevoFLOXacin,
LEVOmethadon,
LevOCARNitin,
LORAtadin,
LoVAStatin,
MELperon,
MeroNEM,Original: MeroNEM® bzw. MeroPENEM
MeroPENEM,Original: MeroNEM® bzw. MeroPENEM
Methadon,
MONurol,Original: MONurol® (Fosfomycin)
MOVIcol,Original: MOVIcol® (Macrogol 3350)
NalTREXon,
NaPROXen,
NexAVAR,Original: NexAVAR® (Sorafenib)
NexIUM,Original: NexIUM® (Esomeprazol)
PAZOPanib,
PenicillAMIN,
Penicillin,
PENTobarbital,
PHENobarbital,
PirACEtam,
PireTANid,
PiriTRAMid,
PirOXIcam,
PONATinib,
PrednisoLON,
PredniSON,
RifAMPicin,
RifAXIMin,
RisperDAL,Original: RisperDAL®
RisperiDON,Original: RisperiDON
RoHYPnol,Original: RoHYPnol® (Flunitrazepam)
ROPInirol,
SandIMMUN,Original: SandIMMUN® (Ciclosporin)
SandoSTATIN,Original: SandoSTATIN® (Octreotid)
SulfaDIAzin,
SulfaSALAzin,
TerBINafin,
TerFENAdin,
TiaNEPtin,
TiZANidin,
TOPamax,Original: TOPamax® (Topiramat)
TraMADol,
TraZODon,
ValACIclovir,
ValGANciclovir,
ZyPREXA,Original: ZyPREXA® (Olanzapin)
ZyrTEC,Original: ZyrTEC® (Cetirizin)
